384plate	384well	96plate	96well	POOLID	siRNAIDs	OriginalGeneTarget	OriginalGeneIDTarget	OriginalRefSeqTarget	OriginalLocusLinkTarget	CalculatedGeneTarget	CalculatedGeneIDTarget	CalculatedRefSeqTarget	CalculatedRefSeqHits
1	A20	2	A10	M-005071-00	D-005071-01&D-005071-02&D-005071-03&D-005071-04	BMP2K	55589	NM_017593	38787903	BMP2K	55589	NM_198892+NM_017593	4+4
1	A21	1	A11	M-005462-01	D-005462-01&D-005462-02&D-005462-03&D-005462-05	CHRM1	1128	NM_000738	37622909	CHRM1	1128	NM_000738	4
1	A22	2	A11	M-004933-03	D-004933-03&D-004933-04&D-004933-07&D-004933-08	BMPR1A	657	NM_004329	41349436	BMPR1A&LOC643778&LOC643778&LOC643778&LOC283155&LOC283155	657&643778&LOC643778&649777&283155&LOC283155	NM_004329&XR_017181&XR_039258&XR_019332&XR_018777+XR_016866&XR_037003	4&4&4&4&2+2&2
1	A23	1	A12	M-003473-01	D-003473-03&D-003473-04&D-003473-05&D-003473-06	CHUK	1147	NM_001278	19923133	CHUK	1147	NM_001278	4
1	A24	2	A12	M-004934-01	D-004934-01&D-004934-03&D-004934-04&D-004934-05	BMPR1B	658	NM_001203	4502430	BMPR1B	658	NM_001203	4
1	B01	3	A01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B02	4	A01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B03	3	A02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B04	4	A02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B05	3	A03	M-003257-02	D-003257-05&D-003257-07&D-003257-08&D-003257-09	PLK3	1263	NM_004073	4758015	PLK3	1263	NM_004073	4
1	B06	4	A03	M-003126-01	D-003126-05&D-003126-06&D-003126-07&D-003126-08	ERBB2	2064	NM_004448	4758297	ERBB2	2064	NM_001005862+NM_004448	4+4
1	B07	3	A04	M-012217-00	D-012217-01&D-012217-02&D-012217-03&D-012217-04	CNKSR1	10256	NM_006314	5453622	CNKSR1	10256	NM_006314	4
1	B08	4	A04	M-003127-02	D-003127-05&D-003127-06&D-003127-08&D-003127-09	ERBB3	2065	NM_001982	4503596	ERBB3	2065	NM_001982+NM_001005915	4+1
1	B09	3	A05	M-012101-00	D-012101-01&D-012101-02&D-012101-03&D-012101-04	COL4A3BP	10087	NM_005713	5031716	COL4A3BP	10087	NM_031361+NM_005713	4+4
1	B10	4	A05	M-003128-02	D-003128-06&D-003128-07&D-003128-08&D-003128-09	ERBB4	2066	NM_005235	4885214	ERBB4	2066	NM_001042599+NM_005235	4+4
1	B11	3	A06	M-019847-01	D-019847-02&D-019847-03&D-019847-04&D-019847-05	COPB2	9276	NM_004766	4758031	COPB2	9276	NM_004766	4
1	B12	4	A06	M-004807-01	D-004807-01&D-004807-02&D-004807-04&D-004807-05	ERK8	225689	NM_139021	20502985	MAPK15	225689	NM_139021	4
1	B13	3	A07	M-004031-02	D-004031-01&D-004031-02&D-004031-04&D-004031-06	CRK7	51755	NM_016507	7706548	CRKRS	51755	NM_015083+NM_016507	4+4
1	B14	4	A07	M-004951-01	D-004951-01&D-004951-02&D-004951-03&D-004951-05	ERN1	2081	NM_001433	4557568	ERN1	2081	NM_001433	3
1	B15	3	A08	M-012023-01	D-012023-01&D-012023-02&D-012023-03&D-012023-05	CRKL	1399	NM_005207	34452719	CRKL	1399	NM_005207	4
1	B16	4	A08	M-006530-01	D-006530-03&D-006530-04&D-006530-05&D-006530-06	EVI1	2122	NM_005241	29789001	EVI1	2122	NM_001105078+NM_001105077+NM_005241	3+3+3
1	B17	3	A09	M-003109-02	D-003109-05&D-003109-06&D-003109-07&D-003109-09	CSF1R	1436	NM_005211	27262658	CSF1R	1436	NM_005211	4
1	B18	4	A09	M-005317-02	D-005317-01&D-005317-02&D-005317-04&D-005317-06	FASTK	10922	NM_006712	39995105	FASTK	10922	NM_006712+NM_033015	4+4
1	B19	3	A10	M-003110-02	D-003110-06&D-003110-07&D-003110-08&D-003110-09	CSK	1445	NM_004383	4758077	CSK	1445	NM_004383	4
1	B20	4	A10	M-003129-01	D-003129-05&D-003129-06&D-003129-07&D-003129-08	FER	2241	NM_005246	4885230	FER	2241	NM_005246	4
1	B21	3	A11	M-003957-03	D-003957-09&D-003957-10&D-003957-11&D-003957-12	CSNK1A1	1452	NM_001892	34147516	CSNK1A1&CSNK1A1L	1452&122011	NM_001892+NM_001025105&NM_145203	4+4&1
1	B22	4	A11	M-003130-01	D-003130-05&D-003130-06&D-003130-07&D-003130-08	FES	2242	NM_002005	13376997	FES	2242	NM_002005	4
1	B23	3	A12	M-003478-00	D-003478-01&D-003478-02&D-003478-03&D-003478-04	CSNK1D	1453	NM_001893	20544143	CSNK1D	1453	NM_001893+NM_139062	4+4
1	B24	4	A12	M-003131-02	D-003131-05&D-003131-07&D-003131-08&D-003131-09	FGFR1	2260	NM_000604	13186232	FGFR1	2260	NM_023106+NM_015850+NM_023110+NM_023105+NM_023111+NM_023107+NM_023108	4+4+4+4+4+1+1
1	C01	1	B01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	C02	2	B01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	C03	1	B02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	C04	2	B02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	C05	1	B03	M-013591-01	D-013591-01&D-013591-03&D-013591-04&D-013591-05	CINP	51550	NM_032630	21327682	CINP	51550	NM_032630	4
1	C06	2	B03	M-005309-02	D-005309-03&D-005309-04&D-005309-05&D-005309-07	BMPR2	659	NM_001204	38569442	BMPR2	659	NM_001204	4
1	C07	1	B04	M-004613-00	D-004613-01&D-004613-02&D-004613-03&D-004613-04	CIT	11113	NM_007174	32698687	CIT	11113	NM_007174	4
1	C08	2	B04	M-003106-02	D-003106-07&D-003106-08&D-003106-09&D-003106-10	BMX	660	NM_001721	42544180	BMX&LOC100133846	660&LOC100133846	NM_203281+NM_001721&XM_001714592	4+4&3
1	C09	1	B05	M-006706-01	D-006706-01&D-006706-02&D-006706-03&D-006706-05	CKB	1152	NM_001823	34335231	CKB	1152	NM_001823	4
1	C10	2	B05	M-003460-01	D-003460-01&D-003460-05&D-003460-06&D-003460-07	BRAF	673	NM_004333	33188458	BRAF	673	NM_004333	4
1	C11	1	B06	M-006707-00	D-006707-01&D-006707-02&D-006707-03&D-006707-04	CKM	1158	NM_001824	21536287	CKM	1158	NM_001824	4
1	C12	2	B06	M-004935-01	D-004935-01&D-004935-02&D-004935-04&D-004935-05	BRD2	6046	NM_005104	12408641	BRD2	6046	NM_005104	4
1	C13	1	B07	M-006708-00	D-006708-01&D-006708-02&D-006708-03&D-006708-04	CKMT1	1159	NM_020990	11641403	CKMT1B&CKMT1A&LOC100133623&LOC731391&LOC649970	1159&548596&LOC100133623&731391&649970	NM_020990&NM_001015001&XM_001720241&XM_001129454&XM_939056	4&4&2&1&1
1	C14	2	B07	M-004938-01	D-004938-02&D-004938-03&D-004938-04&D-004938-05	BRDT	676	NM_001726	46399197	BRDT	676	NM_001726+NM_207189	4+4
1	C15	1	B08	M-006709-00	D-006709-01&D-006709-02&D-006709-03&D-006709-04	CKMT2	1160	NM_001825	4502854	CKMT2	1160	NM_001099736+NM_001099735+NM_001825	4+4+4
1	C16	2	B08	M-003107-01	D-003107-05&D-003107-06&D-003107-07&D-003107-08	BTK	695	NM_000061	4557376	BTK	695	NM_000061	4
1	C17	1	B09	M-004586-01	D-004586-01&D-004586-03&D-004586-04&D-004586-05	CKS1B	1163	NM_001826	4502856	CKS1B&LOC652904&LOC392437&LOC729964&LOC729964&LOC729964	1163&652904&LOC392437&729964&732142&LOC729964	NM_001826&XM_942635+XM_001131354&XR_037197&XM_001134096&XM_001134032&XM_001723531	4&2+2&2&1&1&1
1	C18	2	B09	M-004102-00	D-004102-01&D-004102-02&D-004102-03&D-004102-04	BUB1	699	NM_004336	4757877	BUB1	699	NM_004336	4
1	C19	1	B10	M-007678-00	D-007678-01&D-007678-02&D-007678-03&D-007678-04	CKS2	1164	NM_001827	4502858	CKS2	1164	NM_001827	4
1	C20	2	B10	M-004101-00	D-004101-01&D-004101-02&D-004101-03&D-004101-04	BUB1B	701	NM_001211	20149508	BUB1B	701	NM_001211	4
1	C21	1	B11	M-004800-00	D-004800-01&D-004800-02&D-004800-03&D-004800-04	CLK1	1195	NM_004071	4758007	CLK1	1195	NM_004071	4
1	C22	2	B11	M-005310-00	D-005310-01&D-005310-02&D-005310-03&D-005310-04	C14ORF20	283629	NM_174944	42734400	TSSK4	283629	NM_174944	4
1	C23	1	B12	M-004801-01	D-004801-05&D-004801-06&D-004801-07&D-004801-08	CLK2	1196	NM_001291	4557476	CLK2	1196	NM_003993	4
1	C24	2	B12	M-003108-01	D-003108-05&D-003108-06&D-003108-07&D-003108-08	TP53RK	112858	NM_033550	19923655	TP53RK	112858	NM_033550	4
1	D01	3	B01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	D02	4	B01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	D03	3	B02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	D04	4	B02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	D05	3	B03	M-003479-01	D-003479-01&D-003479-02&D-003479-04&D-003479-05	CSNK1E	1454	NM_001894	23199989	CSNK1E	1454	NM_001894+NM_152221	4+4
1	D06	4	B03	M-003132-01	D-003132-05&D-003132-06&D-003132-07&D-003132-08	FGFR2	2263	NM_000141	13186239	FGFR2	2263	NM_022970+NM_000141	4+4
1	D07	3	B04	M-004666-01	D-004666-05&D-004666-06&D-004666-07&D-004666-08	CSNK1G1	53944	NM_022048	11545750	CSNK1G1	53944	NM_022048	4
1	D08	4	B04	M-003133-01	D-003133-05&D-003133-06&D-003133-07&D-003133-08	FGFR3	2261	NM_000142	13112046	FGFR3	2261	NM_000142+NM_022965	4+4
1	D09	3	B05	M-004678-00	D-004678-01&D-004678-02&D-004678-03&D-004678-04	CSNK1G2	1455	NM_001319	21314777	CSNK1G2	1455	NM_001319	4
1	D10	4	B05	M-003134-01	D-003134-05&D-003134-06&D-003134-07&D-003134-08	FGFR4	2264	NM_002011	13112051	FGFR4	2264	NM_002011+NM_213647+NM_022963	2+2+1
1	D11	3	B06	M-004679-02	D-004679-02&D-004679-05&D-004679-06&D-004679-07	CSNK1G3	1456	NM_004384	4758079	CSNK1G3	1456	NM_001044723+NM_001044722+NM_001031812+NM_004384	4+4+4+4
1	D12	4	B06	M-003135-02	D-003135-05&D-003135-06&D-003135-08&D-003135-09	FGR	2268	NM_005248	4885234	FGR	2268	NM_005248+NM_001042729+NM_001042747	4+4+4
1	D13	3	B07	M-003475-00	D-003475-01&D-003475-02&D-003475-03&D-003475-04	CSNK2A1	1457	NM_001895	29570794	CSNK2A1&CSNK2A1P	1457&283106	NM_001895+NM_177559+NM_177560&NR_002207	4+4+3&4
1	D14	4	B07	M-005318-00	D-005318-01&D-005318-02&D-005318-03&D-005318-04	FLJ10074	55681	NM_017988	31377847	SCYL2&LOC729191&LOC729191&LOC729191	55681&730591&LOC729191&729191	NM_017988&XR_015383&XR_039299&XR_015913	4&2&2&2
1	D15	3	B08	M-004752-00	D-004752-01&D-004752-02&D-004752-03&D-004752-04	CSNK2A2	1459	NM_001896	38708325	CSNK2A2	1459	NM_001896	4
1	D16	4	B08	M-005078-00	D-005078-01&D-005078-02&D-005078-03&D-005078-04	FLJ10761	55224	NM_018208	8922649	ETNK2	55224	NM_018208	4
1	D17	3	B09	M-007679-00	D-007679-01&D-007679-02&D-007679-03&D-007679-04	CSNK2B	1460	NM_001320	26787971	CSNK2B	1460	NM_001320	4
1	D18	4	B09	M-007256-00	D-007256-01&D-007256-02&D-007256-03&D-007256-04	FLJ10842	55750	NM_018238	21359926	AGK	55750	NM_018238	4
1	D19	3	B10	M-007871-00	D-007871-01&D-007871-02&D-007871-03&D-007871-04	CXCL10	3627	NM_001565	4504700	CXCL10	3627	NM_001565	4
1	D20	4	B10	M-007260-00	D-007260-01&D-007260-02&D-007260-03&D-007260-04	RFK	55312	NM_018339	39725953	RFK	55312	NM_018339	4
1	D21	3	B11	M-004417-02	D-004417-02&D-004417-03&D-004417-04&D-004417-07	DAPK1	1612	NM_004938	4826683	DAPK1	1612	NM_004938	3
1	D22	4	B11	M-007726-00	D-007726-01&D-007726-02&D-007726-03&D-007726-04	FLJ12476	64799	NM_022784	12232474	IQCH	64799	NM_022784+NM_001031715	4+3
1	D23	3	B12	M-004418-02	D-004418-01&D-004418-03&D-004418-04&D-004418-05	DAPK2	23604	NM_014326	14670382	DAPK2	23604	NM_014326	4
1	D24	4	B12	M-006318-00	D-006318-01&D-006318-02&D-006318-03&D-006318-04	FLJ13052	65220	NM_023018	20070325	NADK	65220	NM_023018	4
1	E01	1	C01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	E02	2	C01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	E03	1	C02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	E04	2	C02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	E05	1	C03	M-004802-01	D-004802-02&D-004802-03&D-004802-04&D-004802-05	CLK3	1198	NM_001292	4557478	CLK3	1198	NM_003992+NM_001292	4+4
1	E06	2	C03	M-003754-01	D-003754-05&D-003754-06&D-003754-07&D-003754-08	TRIB3	57761	NM_021158	41327717	TRIB3	57761	NM_021158	4
1	E07	1	C04	M-004803-00	D-004803-01&D-004803-02&D-004803-03&D-004803-04	CLK4	57396	NM_020666	10190705	CLK4	57396	NM_020666	4
1	E08	2	C04	M-007254-01	D-007254-01&D-007254-02&D-007254-04&D-007254-05	C6ORF199	221264	NM_145025	34222175	C6orf199	221264	NM_145025	4
1	E09	1	C05	M-003100-01	D-003100-05&D-003100-06&D-003100-07&D-003100-08	ABL1	25	NM_007313	6382057	ABL1	25	NM_007313+NM_005157	4+3
1	E10	2	C05	M-018324-01	D-018324-02&D-018324-03&D-018324-04&D-018324-05	C7ORF16	10842	NM_006658	31542288	C7orf16	10842	NM_006658	4
1	E11	1	C06	M-003101-01	D-003101-05&D-003101-06&D-003101-07&D-003101-08	ABL2	27	NM_005158	6382059	ABL2	27	NM_005158+NM_007314+NM_001100108	4+4+4
1	E12	2	C06	M-003633-01	D-003633-01&D-003633-03&D-003633-05&D-003633-06	TRIB1	10221	NM_025195	40788016	TRIB1	10221	NM_025195	4
1	E13	1	C07	M-003102-02	D-003102-05&D-003102-06&D-003102-08&D-003102-09	TNK2	10188	NM_005781	8922074	TNK2	10188	NM_001010938+NM_005781	4+4
1	E14	2	C07	M-006703-02	D-006703-01&D-006703-03&D-006703-05&D-006703-06	C9ORF12	64768	NM_022755	34222142	IPPK	64768	NM_022755	4
1	E15	1	C08	M-004924-01	D-004924-01&D-004924-02&D-004924-03&D-004924-05	ACVR1	90	NM_001105	10862690	ACVR1	90	NM_001105	4
1	E16	2	C08	M-019939-01	D-019939-01&D-019939-03&D-019939-04&D-019939-05	CALM3	808	NM_005184	4885108	CALM3	808	NM_005184	4
1	E17	1	C09	M-004925-01	D-004925-01&D-004925-03&D-004925-05&D-004925-06	ACVR1B	91	NM_004302	33598913	ACVR1B	91	NM_020327+NM_020328+NM_004302	4+4+4
1	E18	2	C09	M-004940-00	D-004940-01&D-004940-02&D-004940-03&D-004940-04	CAMK1	8536	NM_003656	21536281	CAMK1	8536	NM_003656	4
1	E19	1	C10	M-004926-01	D-004926-01&D-004926-02&D-004926-03&D-004926-05	ACVR2	92	NM_001616	10862696	ACVR2A	92	NM_001616	4
1	E20	2	C10	M-004946-00	D-004946-01&D-004946-02&D-004946-03&D-004946-04	CAMK1D	57118	NM_020397	9966874	CAMK1D	57118	NM_020397+NM_153498	4+4
1	E21	1	C11	M-004927-00	D-004927-01&D-004927-02&D-004927-03&D-004927-04	ACVR2B	93	NM_001106	10862697	ACVR2B	93	NM_001106	3
1	E22	2	C11	M-004941-01	D-004941-01&D-004941-02&D-004941-03&D-004941-05	CAMK1G	57172	NM_020439	14196444	CAMK1G	57172	NM_020439	4
1	E23	1	C12	M-005302-02	D-005302-01&D-005302-03&D-005302-05&D-005302-06	ACVRL1	94	NM_000020	4557242	ACVRL1	94	NM_000020+NM_001077401	4+4
1	E24	2	C12	M-004942-00	D-004942-01&D-004942-02&D-004942-03&D-004942-04	CAMK2A	815	NM_015981	25952113	CAMK2A	815	NM_171825+NM_015981	4+4
1	F01	3	C01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	F02	4	C01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	F03	3	C02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	F04	4	C02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	F05	3	C03	M-004947-00	D-004947-01&D-004947-02&D-004947-03&D-004947-04	DAPK3	1613	NM_001348	4557510	DAPK3	1613	NM_001348	4
1	F06	4	C03	M-004020-03	D-004020-02&D-004020-05&D-004020-06&D-004020-07	MASTL	84930	NM_032844	14249561	MASTL	84930	NM_032844	4
1	F07	3	C04	M-004884-01	D-004884-05&D-004884-06&D-004884-07&D-004884-08	DCAMKL1	9201	NM_004734	4758127	DCLK1&LOC100133851	9201&LOC100133851	NM_004734&XM_001714531	4&1
1	F08	4	C04	M-005319-01	D-005319-02&D-005319-03&D-005319-04&D-005319-05	ULK4	54986	NM_017886	8923538	ULK4	54986	NM_017886	4
1	F09	3	C05	M-006710-00	D-006710-01&D-006710-02&D-006710-03&D-006710-04	DCK	1633	NM_000788	4503268	DCK	1633	NM_000788	4
1	F10	4	C05	M-007253-00	D-007253-01&D-007253-02&D-007253-03&D-007253-04	THNSL1	79896	NM_024838	34222383	THNSL1	79896	NM_024838	4
1	F11	3	C06	M-003111-03	D-003111-08&D-003111-09&D-003111-10&D-003111-11	DDR1	780	NM_001954	38327631	DDR1	780	NM_013993+NM_001954+NM_013994	4+4+4
1	F12	4	C06	M-004843-00	D-004843-01&D-004843-02&D-004843-03&D-004843-04	FLJ23074	80122	NM_025052	13376581	YSK4	80122	NM_001018046+NM_025052	4+4
1	F13	3	C07	M-003112-03	D-003112-05&D-003112-06&D-003112-09&D-003112-10	DDR2	4921	NM_006182	5453813	DDR2	4921	NM_001014796+NM_006182	4+4
1	F14	4	C07	M-005320-01	D-005320-01&D-005320-03&D-005320-04&D-005320-05	LRRK1	79705	NM_024652	33469142	LRRK1	79705	NM_024652	4
1	F15	3	C08	M-006711-02	D-006711-01&D-006711-03&D-006711-05&D-006711-06	DGKA	1606	NM_001345	41393585	DGKA	1606	NM_201554+NM_201445+NM_201444+NM_001345	4+4+4+4
1	F16	4	C08	M-005321-00	D-005321-01&D-005321-02&D-005321-03&D-005321-04	FLJ23356	84197	NM_032237	26024341	FLJ23356	84197	NM_032237	4
1	F17	3	C09	M-006712-01	D-006712-01&D-006712-02&D-006712-04&D-006712-05	DGKB	1607	NM_004080	22027631	DGKB	1607	NM_145695+NM_004080	4+4
1	F18	4	C09	M-004624-00	D-004624-01&D-004624-02&D-004624-03&D-004624-04	FLJ25006	124923	NM_144610	21389410	FLJ25006	124923	NM_144610	4
1	F19	3	C10	M-006713-03	D-006713-02&D-006713-04&D-006713-06&D-006713-09	DGKD	8527	NM_003648	25777595	DGKD	8527	NM_152879+NM_003648	4+4
1	F20	4	C10	M-004052-02	D-004052-08&D-004052-09&D-004052-10&D-004052-11	FLJ32685	152110	NM_152534	22749114	NEK10	152110	NM_001031741+NM_152534	4+4
1	F21	3	C11	M-011493-00	D-011493-01&D-011493-02&D-011493-03&D-011493-04	DGKE	8526	NM_003647	4503312	DGKE	8526	NM_003647	4
1	F22	4	C11	M-006803-00	D-006803-01&D-006803-02&D-006803-03&D-006803-04	C9ORF98	158067	NM_152572	31377569	C9orf98	158067	NM_152572	4
1	F23	3	C12	M-006715-00	D-006715-01&D-006715-02&D-006715-03&D-006715-04	DGKG	1608	NM_001346	4503314	DGKG	1608	NM_001080745+NM_001080744+NM_001346	4+4+4
1	F24	4	C12	M-005326-00	D-005326-01&D-005326-02&D-005326-03&D-005326-04	FLJ34389	197259	NM_152649	22749322	MLKL	197259	NM_152649	4
1	G01	1	D01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	G02	2	D01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	G03	1	D02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	G04	2	D02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	G05	1	D03	M-004504-02	D-004504-01&D-004504-02&D-004504-04&D-004504-06	ADAM9	8754	NM_003816	4501914	ADAM9	8754	NM_003816+NM_001005845	4+4
1	G06	2	D03	M-004943-03	D-004943-01&D-004943-02&D-004943-05&D-004943-06	CAMK2B	816	NM_001220	26051203	CAMK2B	816	NM_001220+NM_172083+NM_172079+NM_172078+NM_172080+NM_172082+NM_172081+NM_172084	4+4+4+4+4+4+4+3
1	G07	1	D04	M-005303-02	D-005303-01&D-005303-02&D-005303-05&D-005303-07	ADCK1	57143	NM_020421	40254937	ADCK1	57143	NM_020421	4
1	G08	2	D04	M-004042-02	D-004042-02&D-004042-03&D-004042-04&D-004042-05	CAMK2D	817	NM_001221	26667179	CAMK2D	817	NM_001221+NM_172128+NM_172127+NM_172115	4+4+4+4
1	G09	1	D05	M-005304-01	D-005304-02&D-005304-03&D-005304-04&D-005304-05	ADCK2	90956	NM_052853	32261306	ADCK2	90956	NM_052853	4
1	G10	2	D05	M-004536-01	D-004536-01&D-004536-03&D-004536-05&D-004536-06	CAMK2G	818	NM_001222	26667190	CAMK2G	818	NM_172170+NM_172173+NM_172169+NM_172171+NM_001222	4+4+4+4+4
1	G11	1	D06	M-005305-01	D-005305-01&D-005305-02&D-005305-04&D-005305-05	ADCK4	79934	NM_024876	21361994	ADCK4	79934	NM_024876	4
1	G12	2	D06	M-004944-01	D-004944-01&D-004944-02&D-004944-04&D-004944-05	CAMK4	814	NM_001744	27477118	CAMK4	814	NM_001744	4
1	G13	1	D07	M-018919-00	D-018919-01&D-018919-02&D-018919-03&D-018919-04	ADCK5	203054	NM_174922	41393592	ADCK5	203054	NM_174922	4
1	G14	2	D07	M-004912-00	D-004912-01&D-004912-02&D-004912-03&D-004912-04	CAMKK1	84254	NM_172207	27437012	CAMKK1	84254	NM_172207+NM_172206+NM_032294	4+3+3
1	G15	1	D08	M-004733-02	D-004733-02&D-004733-03&D-004733-04&D-004733-05	ADK	132	NM_001123	32484972	ADK	132	NM_001123+NM_006721	4+4
1	G16	2	D08	M-004842-01	D-004842-04&D-004842-05&D-004842-06&D-004842-07	CAMKK2	10645	NM_006549	27437014	CAMKK2	10645	NM_172226+NM_172214+NM_153499+NM_006549+NM_172216+NM_153500+NM_172215	4+4+4+4+3+3+3
1	G17	1	D09	M-005419-00	D-005419-01&D-005419-02&D-005419-03&D-005419-04	ADRA1A	148	NM_000680	4501960	ADRA1A	148	NM_000680+NM_033304+NM_033302+NM_033303	4+3+3+3
1	G18	2	D09	M-004395-00	D-004395-01&D-004395-02&D-004395-03&D-004395-04	CARD10	29775	NM_014550	19923793	CARD10	29775	NM_014550	4
1	G19	1	D10	M-005420-01	D-005420-02&D-005420-03&D-005420-04&D-005420-05	ADRA1B	147	NM_000679	15451783	ADRA1B	147	NM_000679	4
1	G20	2	D10	M-004397-00	D-004397-01&D-004397-02&D-004397-03&D-004397-04	CARD14	79092	NM_024110	16507953	CARD14	79092	NM_024110+NM_052819	4+1
1	G21	1	D11	M-005426-01	D-005426-02&D-005426-03&D-005426-04&D-005426-05	ADRB2	154	NM_000024	15718673	ADRB2	154	NM_000024	4
1	G22	2	D11	M-005013-01	D-005013-03&D-005013-05&D-005013-06&D-005013-07	TNNI3K	51086	NM_015978	7705747	TNNI3K	51086	NM_015978	4
1	G23	1	D12	M-004325-01	D-004325-05&D-004325-06&D-004325-07&D-004325-08	ADRBK1	156	NM_001619	6138971	ADRBK1	156	NM_001619	4
1	G24	2	D12	M-006815-00	D-006815-01&D-006815-02&D-006815-03&D-006815-04	CARKL	23729	NM_013276	7019340	SHPK	23729	NM_013276	3
1	H01	3	D01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	H02	4	D01	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	H03	3	D02	empty	NA	NA	NA	NA	NA	NA	NA	NA	NA
